# 기조 절의 항목 — 사람이 원문을 보고 옮겨 적는다.
#
# ordinal 은 **문서에 인쇄된 번호** 다. 우리가 계산한 값이 아니다(스펙 §1).
# ordinalSource 는 그 번호를 어느 절에서 가져왔는지다:
#   기조절  — 「외교정책 기조」 절 안에 번호(또는 서수 낱말·글머리 기호)가 있다
#   시책절  — 기조 절이 산문이라 번호가 없어, 같은 항목을 번호로 받은 「주요 외교시책」 절에서 가져왔다
# 두 절이 1:1로 대응하는지는 사람이 해마다 확인한다.
#
# quote 는 원문 그대로여야 한다. verify.py 가 text/<연도>.txt 와 글자 단위로
# 대조하고, 하나라도 어긋나면 빌드를 멈춘다.
# 원문 중간에 쪽 머리글이 끼어드는 자리는 (…) 로 끊는다 — 생략 표시이자
# '여기서 쪽이 넘어간다'는 기록이다.
#
# flags: title-lost | from-preface | partial | ocr | lead-only
#
id	coverageYear	ordinal	ordinalSource	title	quote	stream	srcEdition	srcChapter	srcSection	srcPage	flags
2004-6	2004	6	기조절	우리 정부의 이라크 파병 성과를 거양하기 위한 외교적 노력	여섯째, 우리 정부의 이라크 파병 성과를 거양하기 위한 외교적 노력을 경주하였다.	iraq	2005 외교백서	1	2	24	
2004-7	2004	7	기조절	미래지향적 글로벌외교를 전개	일곱째, 미래지향적 글로벌외교를 전개하였다.	global-role	2005 외교백서	1	2	24	
2004-8	2004	8	기조절	선진개방경제 실현을 위한 경제·통상외교를 적극적으로 추진	여덟째, 선진개방경제 실현을 위한 경제·통상외교를 적극적으로 추진하였다.	economy	2005 외교백서	1	2	24	
2004-9	2004	9	기조절	우리 국민들의 일자리 창출을 지원하기 위한 노력을 전개	아홉째, 우리 국민들의 일자리 창출을 지원하기 위한 노력을 전개하였다.	economy	2005 외교백서	1	2	25	
2005-1	2005	1	기조절	동북아시대를 위한 균형적 실용외교	북핵문제의 평화적 해결과 한반도 평화체제 구축을 기초로 평화와 번영의 동북아시대를 구현하고, 이를 실현하는 데 적합한 대외환경을 조성하기 위해 균형적 실용외교를 적극 추진하였다.	peninsula	2006 외교백서	1	2	24	partial
2005-2	2005	2	기조절	세계로 나아가는 선진외교	이를 실현하기 위해 다음과 같은 4대 정책목표를 설정했다. ▶동북아시대를 위한 균형적 실용외교 ▶세계로 나아가는 선진외교 ▶선진통상국가 구현을 위한 경제외교 ▶국민과 함께하는 열린외교	regional	2006 외교백서	1	2	23	lead-only
2005-3	2005	3	기조절	선진통상국가 구현을 위한 경제외교	세계는 현재 개방화와 자유무역협정(FTA)이 확산되는 추세이다. 이에 대응하여 안정적인 해외시장을 확보하고, 개방을 통한 우리 경제의 경쟁력 강화를 위해 동시다발적인 FTA를 추진하였다.	economy	2006 외교백서	1	2	25	partial
2005-4	2005	4	기조절	국민과 함께하는 열린외교	주요 외교정책을 홍보하여 국민들의 이해와 지지를 확보하는 한편, 외교정책 수립 및 시행 과정에서 국민의 의견을 반영하기 위해 국민과의 쌍방향 의견수렴을 대폭 강화하고, 지방 및 시민단체(NGO)와의 정책교류를 확대하였다.	public-diplomacy	2006 외교백서	1	2	25	partial
2006-1	2006	1	기조절	동북아평화번영을 위한 균형적 실용외교	한반도 및 동북아의 평화와 번영을 구현하는 데 핵심 변수인 북핵문제의 평화적 해결을 통해 한반도 평화체제를 구축하고 역내 국가 간의 협력을 증진하기 위해 우리의 역할을 적극적으로 강화해 나갈 필요가 있다는 측면에서 '동북아평화번영을 위한 균형적 실용외교'를 추진하였다.	peninsula	2007 외교백서	1	2	23	
2006-2	2006	2	기조절	세계로 나아가는 다변화외교	세계로 나아가는 다변화외교	regional	2007 외교백서	1	2	23	heading-only
